"年份","電影名稱 (中文)","原片名","TMDB 評分"
"2025","禁谷","The Gorge","7.80"
"2025","皮老闆大電影","Plankton: The Movie","7.20"
"2025","完美伴侶","Companion","7.10"
"2024","荒野機器人","The Wild Robot","8.60"
"2024","喵的奇幻漂流","Straume","8.30"
"2024","沙丘：第二部","Dune: Part Two","8.20"
"2024","Doctor Who: The Legend of Ruby Sunday & Empire of Death","Doctor Who: The Legend of Ruby Sunday & Empire of Death","7.80"
"2024","九命貓的奇幻旅程","10 Lives","7.80"
"2024","音速小子3","Sonic the Hedgehog 3","7.80"
"2024","死侍與金鋼狼","Deadpool & Wolverine","7.70"
"2024","我的企鵝朋友","My Penguin Friend","7.70"
"2024","芙莉歐莎：瘋狂麥斯傳奇篇章","Furiosa: A Mad Max Saga","7.60"
"2024","破墓","파묘","7.60"
"2024","腦筋急轉彎2","Inside Out 2","7.60"
"2024","酷狗寶貝之復仇企鵝","Wallace & Gromit: Vengeance Most Fowl","7.60"
"2024","獅子王：木法沙","Mufasa: The Lion King","7.50"
"2024","幻幻之交","IF","7.50"
"2024","蜂刑者","The Beekeeper","7.50"
"2024","天使之心","Cabrini","7.40"
"2024","異形：羅穆路斯","Alien: Romulus","7.20"
"2024","異教詭屋","Heretic","7.20"
"2024","那年聖誕不一樣","That Christmas","7.20"
"2024","海洋奇緣2","Moana 2","7.20"
"2024","懼裂","The Substance","7.20"
"2024","特技玩家","The Fall Guy","7.30"
"2024","邪惡勿語","Speak No Evil","7.30"
"2024","挑戰者","Challengers","7.30"
"2024","天眼救援","Land of Bad","7.30"
"2024","非紳士特攻隊","The Ministry of Ungentlemanly Warfare","7.10"
"2024","帝國浩劫：美國內戰","Civil War","7.10"
"2024","神偷奶爸4","Despicable Me 4","7.10"
"2024","怒火狂猴","Monkey Man","7.00"
"2024","紅色一號","Red One","7.00"
"2024","飛月情海","Fly Me to the Moon","7.00"
"2024","龍捲風暴","Twisters","7.00"
"2024","九龍城寨之圍城","九龍城寨之圍城","7.00"
"2024","Strange Darling","Strange Darling","7.00"
"2024","鬧劇謎案","Wicked Little Letters","7.00"
"2024","鐘聲","Chime","7.00"
"2023","蜘蛛人：穿越新宇宙","Spider-Man: Across the Spider-Verse","8.50"
"2023","奧本海默","Oppenheimer","8.20"
"2023","絕地盟約","La sociedad de la nieve","8.10"
"2023","星際異攻隊3","Guardians of the Galaxy Vol. 3","8.10"
"2023","GT：跨界玩家","Gran Turismo","8.00"
"2023","再見機器人","Robot Dreams","8.00"
"2023","捍衛任務4","John Wick: Chapter 4","8.00"
"2023","可憐的東西","Poor Things","7.80"
"2023","超級瑪利歐兄弟電影版","The Super Mario Bros. Movie","7.80"
"2023","哥吉拉-1.0","ゴジラ-1.0","7.80"
"2023","不可能的任務：致命清算 第一章","Mission: Impossible - Dead Reckoning Part One","7.70"
"2023","花月殺手","Killers of the Flower Moon","7.70"
"2023","落跑雞：雞塊新時代","Chicken Run: Dawn of the Nugget","7.70"
"2023","之前的我們","Past Lives","7.60"
"2023","全家逃走中","The Family Plan","7.60"
"2023","人肉搜索2：失蹤搜救","Missing","7.60"
"2023","當邪惡潛伏時","Cuando acecha la maldad","7.60"
"2023","驚天營救2","Extraction 2","7.60"
"2023","AIR","Air","7.60"
"2023","快一秒的他","1秒先の彼","7.60"
"2023","水泥烏托邦：末日浩劫","콘크리트 유토피아","7.60"
"2023","蒼鷺與少年","君たちはどう生きるか","7.50"
"2023","亨利·休格的神奇故事","The Wonderful Story of Henry Sugar","7.50"
"2023","挑戰","Вызов","7.50"
"2023","絕地營救","Guy Ritchie's The Covenant","7.50"
"2023","人犬","Dogman","7.50"
"2023","龍與地下城：盜賊榮耀","Dungeons & Dragons: Honor Among Thieves","7.50"
"2023","玩命關頭X","Fast X","7.40"
"2023","奪魂鋸X","Saw X","7.40"
"2023","人道主義吸血鬼尋求自殺者同意","Vampire humaniste cherche suicidaire consentant","7.40"
"2023","畢業有蜥望","Leo","7.40"
"2023","Barbie芭比","Barbie","7.30"
"2023","勿說是推理","ミステリと言う勿れ","7.30"
"2023","忍者龜：變種大亂鬥","Teenage Mutant Ninja Turtles: Mutant Mayhem","7.30"
"2023","妖精瑪卡：森林之歌","Мавка: Лісова пісня","7.30"
"2023","驚聲尖叫6","Scream VI","7.30"
"2023","神啊，你在嗎？","Are You There God? It's Me, Margaret.","7.30"
"2023","千萬別開門","타겟","6.70"
"2022","捍衛戰士：獨行俠","Top Gun: Maverick","8.40"
"2022","媽的多重宇宙","Everything Everywhere All at Once","8.10"
"2022","終極戰士：獸獵者","Prey","7.90"
"2022","超難搞先生","A Man Called Otto","7.90"
"2022","闇黑電話","The Black Phone","7.90"
"2022","天才少女福爾摩斯 2","Enola Holmes 2","7.70"
"2022","壞蛋聯盟","The Bad Guys","7.70"
"2022","音速小子2","Sonic the Hedgehog 2","7.70"
"2022","灌籃高手 THE FIRST SLAM DUNK","THE FIRST SLAM DUNK","7.80"
"2022","子彈列車","Bullet Train","7.50"
"2022","巴比倫","Babylon","7.50"
"2022","小小兵2：格魯的崛起","Minions: The Rise of Gru","7.50"
"2022","五星饗魘","The Menu","7.20"
"2022","人生恰恰恰","Cha Cha Real Smooth","7.20"
"2022","巴斯光年","Lightyear","7.20"
"2022","劊樂小丑2","Terrifier 2","7.40"
"2022","窒友梅根","M3GAN","7.40"
"2022","黑亞當","Black Adam","7.30"
"2022","黑豹2：瓦干達萬歲","Black Panther: Wakanda Forever","7.30"
"2022","分手的決心","헤어질 결심","7.30"
"2022","怪胎英雄：奇克探險記","Chickenhare and the Hamster of Darkness","7.30"
"2022","不！","Nope","7.00"
"2022","秘境探險","Uncharted","7.00"
"2022","淡藍之眸","The Pale Blue Eye","7.00"
"2022","暗夜狼人","Werewolf by Night","7.00"
"2022","末日救世主","KAPPEI カッペイ","7.00"
"2021","蜘蛛人：無家日","Spider-Man: No Way Home","8.00"
"2021","查克史奈德之正義聯盟","Zack Snyder's Justice League","8.40"
"2021","時尚惡女：庫伊拉","Cruella","8.30"
"2021","許願神龍","Wish Dragon","8.30"
"2021","無名弒","Nobody","8.30"
